Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Age],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""414""","""Kuwait""","""NUM_U5_M""","""<5Y""","""G""",,5.08693,5.00465,5.68464,7.20647,7.05052,5.92474,7.93256,5.22135,4.62224,6.57211,4.95329,7.26295,8.31465,7.43789,9.6343,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""417""","""Kyrgyzstan""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,16.65477,,,7.45112,,,19.36376,,20.82662,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""432""","""Landlocked developing countries (LLDCs)""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,5029.28024
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""418""","""Lao People's Democratic Republic""","""NUM_U5_M""","""<5Y""","""G""",139.41708,,,,,,55.81771,,,,,50.34612,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""419""","""Latin America and the Caribbean""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,674.35223
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""199""","""Least Developed Countries (LDCs)""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,,12461.10127
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""422""","""Lebanon""","""NUM_U5_M""","""<5Y""","""G""",,,,,21.70245,,,,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""426""","""Lesotho""","""NUM_U5_M""","""<5Y""","""G""",18.57078,,,,14.49389,,,,,9.72475,,,,,7.85347,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""430""","""Liberia""","""NUM_U5_M""","""<5Y""","""G""",36.64103,,,,,,,47.20523,,,18.30167,,,38.63971,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""434""","""Libya""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,38.52147,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""450""","""Madagascar""","""NUM_U5_M""","""<5Y""","""G""",,,,,468.95084,,,,,,,,,281.5994,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""454""","""Malawi""","""NUM_U5_M""","""<5Y""","""G""",141.48305,,,,143.98151,,100.611,,,47.81228,110.44127,,,,108.63648,80.13475,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""458""","""Malaysia""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,205.5476,300.40841,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""462""","""Maldives""","""NUM_U5_M""","""<5Y""","""G""",,4.22395,,,,,,,,3.44087,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""466""","""Mali""","""NUM_U5_M""","""<5Y""","""G""",,269.72541,,,,,397.62357,,,,265.29522,,,,,441.72761,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""584""","""Marshall Islands""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,,,,,,,,,,,0.03546,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""478""","""Mauritania""","""NUM_U5_M""","""<5Y""","""G""",68.30119,,,,,,,71.70829,43.66815,,,105.24164,69.17915,,,94.93338,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""484""","""Mexico""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,234.5922,,,,,,182.83553,,,119.323,230.20113,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""496""","""Mongolia""","""NUM_U5_M""","""<5Y""","""G""",16.6211,,,,1.31506,6.01551,,,,,5.21415,,,3.33317,,,4.66953,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""499""","""Montenegro""","""NUM_U5_M""","""<5Y""","""G""",,,,,,1.70574,,,,,,,,1.07975,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""504""","""Morocco""","""NUM_U5_M""","""<5Y""","""G""",,,,327.18045,,,,,,,,73.8969,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""508""","""Mozambique""","""NUM_U5_M""","""<5Y""","""G""",,274.96219,,195.73291,,,,,173.57388,,,273.06393,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""104""","""Myanmar""","""NUM_U5_M""","""<5Y""","""G""",540.66302,,,566.94817,,,,,,396.68468,,,,,,,300.64101,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""516""","""Namibia""","""NUM_U5_M""","""<5Y""","""G""",27.7788,,,,,,,21.28535,,,,,,22.70099,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""520""","""Nauru""","""NUM_U5_M""","""<5Y""","""G""",,,,,,,,0.01,,,,,,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""524""","""Nepal""","""NUM_U5_M""","""<5Y""","""G""",,405.95412,,,,,429.56287,,,,,346.12047,,,321.82231,,265.59652,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""558""","""Nicaragua""","""NUM_U5_M""","""<5Y""","""G""",,15.30956,,,1.92392,,9.27521,,,,,,13.48101,,,,,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""562""","""Niger""","""NUM_U5_M""","""<5Y""","""G""",380.00263,,,,,,369.7779,,,,,,668.7984,,,,426.56756,,
"""2""","""2.2""","""2.2.2""","""SH_STA_WASTEN""","""Children moderately or severely wasted (millions)""","""566""","""Nigeria""","""NUM_U5_M""","""<5Y""","""G""",,,,2584.3143,,,,3443.31292,3818.5893,,,3288.28647,,5379.3924,2406.42414,2239.85959,3430.29967,,
